id,name,lat,lon,subway,suburban
693209,"Schweidnitzer Straße, Hamburg",53.577058,10.135976,False,False
693230,"Friedhof Öjendorf (Feierhallen), Hamburg",53.556868,10.12642,False,False
693374,"Neuenfelder Straße (Schule), Hamburg",53.493575,10.01294,False,False
693398,"Norderloch, Hamburg",53.537406,9.967347,False,False
693522,"Vogelhüttendeich, Hamburg",53.515931,9.99338,False,False
693526,"Rathaus Wilhelmsburg, Hamburg",53.499364,9.996679,False,False
693548,"Neuländer Elbdeich 76, Hamburg",53.468153,10.006549,False,False
693552,"Großmoorbogen (Neuländer See), Hamburg",53.460279,10.010792,False,False
693556,"Kanzlershofer Weg, Hamburg",53.44782,10.023413,False,False
693685,"Buchholzer Weg, Hamburg",53.431702,9.983501,False,False
693729,"Eißendorfer Straße (TU, Hamburg",53.459119,9.970448,False,False
693849,"Seehafenbrücke (Amtsgericht), Hamburg",53.46409,9.980561,False,False
694385,"Justus-Brinckmann-Straße, Hamburg",53.481376,10.232088,False,False
694404,"Pollhof, Hamburg",53.473412,10.230677,False,False
694425,"Plettenbergstraße, Hamburg",53.504712,10.203566,False,False
694428,"Goerdelerstraße, Hamburg",53.50144,10.210919,False,False
694543,"Von-Haeften-Straße, Hamburg",53.486815,10.165362,False,False
694552,"Henriette-Herz-Ring, Hamburg",53.4841,10.172103,False,False
694598,"Nettelnburger Straße, Hamburg",53.476297,10.195979,False,False
694637,"Emilie-Günther-Weg, Hamburg",53.502465,10.194774,False,False
694642,"BG Klinikum Boberg, Hamburg",53.507598,10.180176,False,False
694657,"Schule Mümmelmannsberg, Hamburg",53.529864,10.141369,False,False
694664,"Haseneck, Hamburg",53.529891,10.137486,False,False
694677,"Auf der Bojewiese, Hamburg",53.496865,10.177704,False,False
694684,"Curt-Bär-Weg, Hamburg",53.48401,10.158719,False,False
694690,"Werner-Witt-Straße (Nord), Hamburg",53.496712,10.112577,False,False
694692,"Rungedamm (Mitte), Hamburg",53.498932,10.110159,False,False
694700,"Bojendamm, Hamburg",53.502654,10.17071,False,False
694761,"Schwersweg, Hamburg",53.477511,10.077582,False,False
697063,"Baron-Voght-Straße (Mitte), Hamburg",53.554953,9.865113,False,False
705522,"Algermissenstraße, Hamburg",53.497215,10.011745,False,False
895133,"Riehlstraße, Hamburg",53.497296,10.196905,False,False
895208,"Otto-Grot-Straße, Hamburg",53.488658,10.147563,False,False
895239,"Niendorfer Straße, Hamburg",53.610821,9.957324,False,False
895253,"Werner-Otto-Straße, Hamburg",53.601265,10.068799,False,False
895280,"Fuhlsbüttel, Hamburg",53.632575,10.02655,True,False
895288,"Knoopstraße/Bremer Straße, Hamburg",53.457339,9.979573,False,False
895381,"Gaußstraße, Hamburg",53.558396,9.928199,False,False
895619,"Rahlstedt Center, Hamburg",53.60425,10.158341,False,False
895793,"Händelstraße, Hamburg",53.562261,9.905645,False,False
895861,"Fuchsbergweg, Hamburg",53.562378,10.132506,False,False
895907,"Otto-Hahn-Schule Jenfeld, Hamburg",53.579467,10.12802,False,False
895977,"Harburger Schloßstraße, Hamburg",53.465079,9.983321,False,False
895996,"Hein-Baxmann-Stieg, Hamburg",53.512964,10.083668,False,False
895999,"Salomon-Petri-Ring, Hamburg",53.546647,10.132173,False,False
896039,"Ölmühlenweg (Nord), Hamburg",53.584537,10.100459,False,False
8002547,Hamburg Airport,53.63271,10.00672,False,True
8006750,Hamburg Neuwiedenthal,53.473061,9.877473,False,True
8007045,Hamburg-Schnelsen,53.633833,9.906589,False,False
113089,"Am Kroog, Hamburg",53.6095,10.141136,False,False
223081,"Gertrud-Seele-Kehre, Hamburg",53.480594,10.173326,False,False
340212,"Stenzelring, Hamburg",53.517774,10.000329,False,False
370958,"Moorfleeter Deich 344, Hamburg",53.495669,10.091389,False,False
692067,"Marie-Henning-Weg, Hamburg",53.484523,10.154287,False,False
692324,"Jägerlauf, Hamburg",53.603072,9.967734,False,False
692339,"Krähenweg, Hamburg",53.630462,9.962115,False,False
692343,"Bindfeldweg, Hamburg",53.622444,9.941593,False,False
692366,"Nedderfeld (Kehre), Hamburg",53.603872,9.963005,False,False
692391,"Sydneystraße, Hamburg",53.605392,10.017777,False,False
692397,"Braamkamp, Hamburg",53.601589,9.996805,False,False
692487,"Am Volkspark, Hamburg",53.585507,9.908288,False,False
